Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,lat_lon,strain,collected_by,isolate,AssemblyName,Age,Biomaterial_provider,Breed,Cultivar,Ecotype,sample_type,Host,identified_by,isolation_source
SRR3590551,WGS,183,12829562288,PRJNA308584,SAMN04412695,Model organism or animal,6281848455,STANFORD UNIVERSITY,2012-07-18,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801496,USA,North America,"USA: Charlotttesville\, Virginia",Illumina HiSeq 2000,VA_07_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,VA_07_2012,male,SRP075757,whole organism,38.0299 N 78.479 W,not applicable,,not applicable,assembly,not collected,Schmidt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590552,WGS,182,15013726560,PRJNA308584,SAMN04412696,Model organism or animal,7333288263,STANFORD UNIVERSITY,2012-10-20,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801497,Austria,Europe,Austria: Gross-Enzersdorf,Illumina HiSeq 2000,VI_10_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,VI_10_2012,male,SRP075757,whole organism,48.2 N 16.55 E,not applicable,,not applicable,assembly,not collected,Flatt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590553,WGS,183,7333989944,PRJNA308584,SAMN04412697,Model organism or animal,3744682373,STANFORD UNIVERSITY,2012-08-03,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801498,Austria,Europe,Austria: Gross-Enzersdorf,Illumina HiSeq 2000,VI_08_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,VI_08_2012,male,SRP075757,whole organism,48.2 N 16.55 E,not applicable,,not applicable,assembly,not collected,Flatt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590554,WGS,183,9536419988,PRJNA308584,SAMN04412698,Model organism or animal,4704293527,STANFORD UNIVERSITY,2012-10-20,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801499,USA,North America,"USA: Cross Plains\, Wisconsin",Illumina HiSeq 2000,WI_10_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,WI_10_2012,male,SRP075757,whole organism,43.0947 N 89.6611 W,not applicable,,not applicable,assembly,not collected,Pool Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590555,WGS,183,3972468828,PRJNA308584,SAMN04412699,Model organism or animal,1883910600,STANFORD UNIVERSITY,2012-06-10,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801500,USA,North America,"USA: Cross Plains\, Wisconsin",Illumina HiSeq 2000,WI_06_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,WI_06_2012,male,SRP075757,whole organism,43.0947 N 89.6611 W,not applicable,,not applicable,assembly,not collected,Pool Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590556,WGS,183,8485960308,PRJNA308584,SAMN04412686,Model organism or animal,4229822402,STANFORD UNIVERSITY,2012-11-02,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801501,USA,North America,"USA: Lancaster\, Massachusetts",Illumina HiSeq 2000,MA_11_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,MA_11_2012,male,SRP075757,whole organism,42.4556 N 71.6736 W,not applicable,,not applicable,assembly,not collected,Schmidt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590557,WGS,183,9245891808,PRJNA308584,SAMN04412687,Model organism or animal,4586676860,STANFORD UNIVERSITY,2012-07-28,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801502,USA,North America,"USA: Lancaster\, Massachusetts",Illumina HiSeq 2000,MA_07_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,MA_07_2012,male,SRP075757,whole organism,42.4556 N 71.6736 W,not applicable,,not applicable,assembly,not collected,Schmidt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590558,WGS,183,8026087176,PRJNA308584,SAMN04412688,Model organism or animal,3944802496,STANFORD UNIVERSITY,2012-09-23,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801503,USA,North America,"USA: Ithica\, New York",Illumina HiSeq 2000,NY_09_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,NY_09_2012,male,SRP075757,whole organism,42.4433 N 76.5 W,not applicable,,not applicable,assembly,not collected,Lazarro Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590559,WGS,183,13324736372,PRJNA308584,SAMN04412689,Model organism or animal,6546521300,STANFORD UNIVERSITY,2012-07-25,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801504,USA,North America,"USA: Ithica\, New York",Illumina HiSeq 2000,NY_07_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,NY_07_2012,male,SRP075757,whole organism,42.4433 N 76.5 W,not applicable,,not applicable,assembly,not collected,Lazarro Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590560,WGS,183,6483442216,PRJNA308584,SAMN04412690,Model organism or animal,3511843493,STANFORD UNIVERSITY,2012-10-10,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801505,USA,North America,"USA: Linvilla\, Pennsylvania",Illumina HiSeq 2000,PA_10_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,PA_10_2012,male,SRP075757,whole organism,39.5302 N 75.2449 W,not applicable,,not applicable,assembly,not collected,Schmidt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590561,WGS,183,10712695372,PRJNA308584,SAMN04412691,Model organism or animal,5175391754,STANFORD UNIVERSITY,2012-07-16,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801506,USA,North America,"USA: Linvilla\, Pennsylvania",Illumina HiSeq 2000,PA_07_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,PA_07_2012,male,SRP075757,whole organism,39.5302 N 75.2449 W,not applicable,,not applicable,assembly,not collected,Schmidt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590562,WGS,183,9128386648,PRJNA308584,SAMN04412692,Model organism or animal,4417913214,STANFORD UNIVERSITY,2012-09-11,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801507,USA,North America,"USA: Cross Plains\, Wisconsin",Illumina HiSeq 2000,WI_09_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,WI_09_2012,male,SRP075757,whole organism,43.0947 N 89.6611 W,not applicable,,not applicable,assembly,not collected,Pool Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590563,WGS,183,9686919752,PRJNA308584,SAMN04412693,Model organism or animal,4722348576,STANFORD UNIVERSITY,2012-09-13,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801508,USA,North America,"USA: Linvilla\, Pennsylvania",Illumina HiSeq 2000,PA_9_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,PA_9_2012,male,SRP075757,whole organism,39.5302 N 75.2449 W,not applicable,,not applicable,assembly,not collected,Schmidt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR8061818,WGS,294,22640787621,PRJNA308584,SAMN10238540,Invertebrate,6396985884,STANFORD UNIVERSITY,2014-07-15,public,"sra,bam","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,SRX4891300,USA,North America,"USA: Seattle\, Washington",Illumina HiSeq 2000,mel14TWA7_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2018-10-16T00:00:00Z,mel14TWA7_SPT,male,SRP075757,whole organism,47.61 N 122.33 W,,,wild,GCF_000001215.2,,,,,,,not applicable,Machado,not applicable
SRR8061819,WGS,295,16184616540,PRJNA308584,SAMN05382924,Model organism or animal,4495466666,STANFORD UNIVERSITY,18-Sep-2014,public,"bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,SRX4891299,USA,North America,"USA: Cross Plains\, Wisconsin",Illumina HiSeq 2000,mel14CWI9_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2018-10-16T00:00:00Z,mel14CWI9_FAT,male,SRP075757,whole organism,43.11 N 89.65 W,wild,J. Pool,,GCF_000001215.2,,,,,,,,,
SRR11742118,WGS,149,11463232414,PRJNA308584,SAMN14858745,Model organism or animal,4882837397,UNIVERSITY OF VIRGINIA,2014-07,public,sra,"gs,ncbi","gs.US,ncbi.public",Adult,SRX8295554,USA,North America,"USA: Tacoma\, WA",Illumina HiSeq 4000,mel14TWA7,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2020-05-08T00:00:00Z,mel14TWA7,male,SRP075757,whole body,,,,mel14TWA7,,,,,,,,,,
SRR11742116,WGS,184,7259180880,PRJNA308584,SAMN14858747,Model organism or animal,4816729232,UNIVERSITY OF VIRGINIA,2012-10-10,public,sra,"ncbi,s3","ncbi.public,s3.us-east-1",Adult,SRX8295556,USA,North America,"USA: Media\, PA",Illumina HiSeq 2000,PA_2012_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2020-05-08T00:00:00Z,PA_2012_FAT,male,SRP075757,whole body,,,,PA_2012_FAT,,,,,,,,,,
SRR11742117,WGS,184,17416986256,PRJNA308584,SAMN14858746,Model organism or animal,11373358685,UNIVERSITY OF VIRGINIA,2012-11-05,public,sra,"gs,ncbi","gs.US,ncbi.public",Adult,SRX8295555,USA,North America,"USA: Charlottesville\, VA",Illumina HiSeq 2000,VI_2012_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2020-05-08T00:00:00Z,VI_2012_FAT,male,SRP075757,whole body,,,,VI_2012_FAT,,,,,,,,,,
